"Plot Title: 9724974"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 9724974, SEN S/N: 9724974)","Temp, °F (LGR S/N: 9724974, SEN S/N: 9724974)","Coupler Detached (LGR S/N: 9724974)","Coupler Attached (LGR S/N: 9724974)","Host Connected (LGR S/N: 9724974)","End Of File (LGR S/N: 9724974)"
36,08/20/10 01:00:00  AM,42.984,42.341,,,,
37,08/20/10 02:00:00  AM,42.064,41.787,,,,
38,08/20/10 03:00:00  AM,42.478,41.463,,,,
39,08/20/10 04:00:00  AM,42.478,40.998,,,,
40,08/20/10 05:00:00  AM,41.693,40.858,,,,
41,08/20/10 06:00:00  AM,40.719,40.719,,,,
42,08/20/10 07:00:00  AM,40.392,40.672,,,,
43,08/20/10 08:00:00  AM,40.811,41.740,,,,
44,08/20/10 09:00:00  AM,40.951,43.579,,,,
45,08/20/10 10:00:00  AM,40.485,46.526,,,,
46,08/20/10 11:00:00  AM,40.298,46.256,,,,
47,08/20/10 12:00:00  PM,41.601,48.583,,,,
48,08/20/10 01:00:00  PM,41.463,50.974,,,,
49,08/20/10 02:00:00  PM,42.616,52.903,,,,
50,08/20/10 03:00:00  PM,43.167,54.561,,,,
51,08/20/10 04:00:00  PM,44.991,57.592,,,,
52,08/20/10 05:00:00  PM,42.847,54.343,,,,
53,08/20/10 06:00:00  PM,42.247,51.237,,,,
54,08/20/10 07:00:00  PM,43.990,51.062,,,,
55,08/20/10 08:00:00  PM,42.525,49.116,,,,
56,08/20/10 09:00:00  PM,39.454,44.809,,,,
57,08/20/10 10:00:00  PM,40.204,41.740,,,,
58,08/20/10 11:00:00  PM,39.596,39.830,,,,
59,08/21/10 12:00:00  AM,39.690,39.877,,,,
60,08/21/10 01:00:00  AM,39.407,38.700,,,,
61,08/21/10 02:00:00  AM,38.842,36.795,,,,
62,08/21/10 03:00:00  AM,37.942,35.443,,,,
63,08/21/10 04:00:00  AM,38.606,36.217,,,,
64,08/21/10 05:00:00  AM,39.124,37.035,,,,
65,08/21/10 06:00:00  AM,38.937,37.513,,,,
66,08/21/10 07:00:00  AM,38.842,38.131,,,,
67,08/21/10 08:00:00  AM,39.267,40.485,,,,
68,08/21/10 09:00:00  AM,40.064,43.808,,,,
69,08/21/10 10:00:00  AM,40.438,46.166,,,,
70,08/21/10 11:00:00  AM,42.433,50.576,,,,
71,08/21/10 12:00:00  PM,42.064,52.992,,,,
72,08/21/10 01:00:00  PM,44.355,55.690,,,,
73,08/21/10 02:00:00  PM,46.076,56.901,,,,
74,08/21/10 03:00:00  PM,45.761,56.988,,,,
75,08/21/10 04:00:00  PM,45.354,56.988,,,,
76,08/21/10 05:00:00  PM,45.262,55.690,,,,
77,08/21/10 06:00:00  PM,46.391,56.944,,,,
78,08/21/10 07:00:00  PM,45.444,52.729,,,,
79,08/21/10 08:00:00  PM,47.154,50.664,,,,
80,08/21/10 09:00:00  PM,44.127,47.647,,,,
81,08/21/10 10:00:00  PM,43.716,43.214,,,,
82,08/21/10 11:00:00  PM,43.351,41.508,,,,
83,08/22/10 12:00:00  AM,42.939,40.626,,,,
84,08/22/10 01:00:00  AM,42.064,39.454,,,,
85,08/22/10 02:00:00  AM,41.554,38.984,,,,
86,08/22/10 03:00:00  AM,40.811,38.464,,,,
87,08/22/10 04:00:00  AM,40.626,38.037,,,,
88,08/22/10 05:00:00  AM,39.970,37.416,,,,
89,08/22/10 06:00:00  AM,39.502,36.603,,,,
90,08/22/10 07:00:00  AM,39.220,35.492,,,,
91,08/22/10 08:00:00  AM,39.502,36.410,,,,
92,08/22/10 09:00:00  AM,40.345,36.747,,,,
93,08/22/10 10:00:00  AM,41.554,36.698,,,,
94,08/22/10 11:00:00  AM,44.991,40.438,,,,
95,08/22/10 12:00:00  PM,45.399,48.583,,,,
96,08/22/10 01:00:00  PM,44.719,46.931,,,,
97,08/22/10 02:00:00  PM,47.109,50.356,,,,
98,08/22/10 03:00:00  PM,47.064,49.825,,,,
99,08/22/10 04:00:00  PM,48.315,48.137,,,,
100,08/22/10 05:00:00  PM,48.004,49.604,,,,
101,08/22/10 06:00:00  PM,47.064,50.135,,,,
102,08/22/10 07:00:00  PM,44.310,46.436,,,,
103,08/22/10 08:00:00  PM,43.990,44.445,,,,
104,08/22/10 09:00:00  PM,42.755,42.386,,,,
105,08/22/10 10:00:00  PM,42.433,41.230,,,,
106,08/22/10 11:00:00  PM,42.109,40.532,,,,
107,08/23/10 12:00:00  AM,41.277,40.111,,,,
108,08/23/10 01:00:00  AM,40.764,39.502,,,,
109,08/23/10 02:00:00  AM,40.672,39.643,,,,
110,08/23/10 03:00:00  AM,40.392,39.502,,,,
111,08/23/10 04:00:00  AM,40.532,38.700,,,,
112,08/23/10 05:00:00  AM,40.579,37.513,,,,
113,08/23/10 06:00:00  AM,39.596,36.459,,,,
114,08/23/10 07:00:00  AM,39.970,35.879,,,,
115,08/23/10 08:00:00  AM,40.438,36.554,,,,
116,08/23/10 09:00:00  AM,41.043,39.877,,,,
117,08/23/10 10:00:00  AM,43.122,43.443,,,,
118,08/23/10 11:00:00  AM,43.900,47.826,,,,
119,08/23/10 12:00:00  PM,43.853,47.422,,,,
120,08/23/10 01:00:00  PM,43.214,47.647,,,,
121,08/23/10 02:00:00  PM,43.396,48.938,,,,
122,08/23/10 03:00:00  PM,43.396,49.737,,,,
123,08/23/10 04:00:00  PM,42.755,49.249,,,,
124,08/23/10 05:00:00  PM,42.341,49.116,,,,
125,08/23/10 06:00:00  PM,41.693,47.557,,,,
126,08/23/10 07:00:00  PM,41.554,46.346,,,,
127,08/23/10 08:00:00  PM,41.416,45.082,,,,
128,08/23/10 09:00:00  PM,41.043,43.351,,,,
129,08/23/10 10:00:00  PM,41.230,41.925,,,,
130,08/23/10 11:00:00  PM,40.532,40.719,,,,
131,08/24/10 12:00:00  AM,40.858,40.719,,,,
132,08/24/10 01:00:00  AM,40.672,40.111,,,,
133,08/24/10 02:00:00  AM,39.736,38.606,,,,
134,08/24/10 03:00:00  AM,39.830,38.226,,,,
135,08/24/10 04:00:00  AM,39.549,38.511,,,,
136,08/24/10 05:00:00  AM,39.830,38.511,,,,
137,08/24/10 06:00:00  AM,39.736,39.407,,,,
138,08/24/10 07:00:00  AM,39.078,39.124,,,,
139,08/24/10 08:00:00  AM,40.345,39.830,,,,
140,08/24/10 09:00:00  AM,40.204,41.043,,,,
141,08/24/10 10:00:00  AM,40.345,43.808,,,,
142,08/24/10 11:00:00  AM,42.616,49.428,,,,
143,08/24/10 12:00:00  PM,42.984,51.105,,,,
144,08/24/10 01:00:00  PM,43.167,50.047,,,,
145,08/24/10 02:00:00  PM,44.537,53.166,,,,
146,08/24/10 03:00:00  PM,45.986,56.251,,,,
147,08/24/10 04:00:00  PM,44.263,53.298,,,,
148,08/24/10 05:00:00  PM,45.941,55.125,,,,
149,08/24/10 06:00:00  PM,46.526,54.604,,,,
150,08/24/10 07:00:00  PM,45.986,54.691,,,,
151,08/24/10 08:00:00  PM,44.492,49.692,,,,
152,08/24/10 09:00:00  PM,43.990,46.481,,,,
153,08/24/10 10:00:00  PM,44.400,44.719,,,,
154,08/24/10 11:00:00  PM,42.755,43.945,,,,
155,08/25/10 12:00:00  AM,42.616,43.443,,,,
156,08/25/10 01:00:00  AM,42.478,42.984,,,,
157,08/25/10 02:00:00  AM,41.648,42.847,,,,
158,08/25/10 03:00:00  AM,41.277,42.800,,,,
159,08/25/10 04:00:00  AM,40.905,42.433,,,,
160,08/25/10 05:00:00  AM,40.017,42.017,,,,
161,08/25/10 06:00:00  AM,40.017,41.508,,,,
162,08/25/10 07:00:00  AM,39.220,41.137,,,,
163,08/25/10 08:00:00  AM,39.549,41.463,,,,
164,08/25/10 09:00:00  AM,39.877,42.708,,,,
165,08/25/10 10:00:00  AM,40.158,44.218,,,,
166,08/25/10 11:00:00  AM,40.672,48.717,,,,
167,08/25/10 12:00:00  PM,41.970,51.325,,,,
168,08/25/10 01:00:00  PM,42.294,51.017,,,,
169,08/25/10 02:00:00  PM,42.525,50.576,,,,
170,08/25/10 03:00:00  PM,44.173,56.340,,,,
171,08/25/10 04:00:00  PM,43.443,60.003,,,,
172,08/25/10 05:00:00  PM,42.663,50.621,,,,
173,08/25/10 06:00:00  PM,42.939,50.709,,,,
174,08/25/10 07:00:00  PM,42.892,52.029,,,,
175,08/25/10 08:00:00  PM,41.184,48.450,,,,
176,08/25/10 09:00:00  PM,40.905,45.624,,,,
177,08/25/10 10:00:00  PM,41.137,44.173,,,,
178,08/25/10 11:00:00  PM,40.626,43.579,,,,
179,08/26/10 12:00:00  AM,40.672,42.984,,,,
180,08/26/10 01:00:00  AM,40.298,42.616,,,,
181,08/26/10 02:00:00  AM,40.111,42.247,,,,
182,08/26/10 03:00:00  AM,39.877,41.693,,,,
183,08/26/10 04:00:00  AM,39.643,41.508,,,,
184,08/26/10 05:00:00  AM,39.736,40.017,,,,
185,08/26/10 06:00:00  AM,40.111,40.532,,,,
186,08/26/10 07:00:00  AM,39.877,40.626,,,,
187,08/26/10 08:00:00  AM,40.298,40.905,,,,
188,08/26/10 09:00:00  AM,40.298,41.322,,,,
189,08/26/10 10:00:00  AM,40.485,42.708,,,,
190,08/26/10 11:00:00  AM,40.579,44.355,,,,
191,08/26/10 12:00:00  PM,40.626,44.719,,,,
192,08/26/10 01:00:00  PM,41.787,49.028,,,,
193,08/26/10 02:00:00  PM,43.534,50.002,,,,
194,08/26/10 03:00:00  PM,39.877,44.218,,,,
195,08/26/10 04:00:00  PM,40.858,37.321,,,,
196,08/26/10 05:00:00  PM,43.900,47.871,,,,
197,08/26/10 06:00:00  PM,43.900,54.212,,,,
198,08/26/10 07:00:00  PM,42.525,47.199,,,,
199,08/26/10 08:00:00  PM,44.991,47.019,,,,
200,08/26/10 09:00:00  PM,42.017,43.716,,,,
201,08/26/10 10:00:00  PM,42.109,39.031,,,,
202,08/26/10 11:00:00  PM,41.508,37.369,,,,
203,08/27/10 12:00:00  AM,41.322,35.638,,,,
204,08/27/10 01:00:00  AM,40.811,34.761,,,,
205,08/27/10 02:00:00  AM,40.251,33.386,,,,
206,08/27/10 03:00:00  AM,40.345,33.831,,,,
207,08/27/10 04:00:00  AM,39.549,34.075,,,,
208,08/27/10 05:00:00  AM,39.173,33.978,,,,
209,08/27/10 06:00:00  AM,38.889,33.928,,,,
210,08/27/10 07:00:00  AM,38.984,33.879,,,,
211,08/27/10 08:00:00  AM,39.313,33.928,,,,
212,08/27/10 09:00:00  AM,39.830,33.978,,,,
213,08/27/10 10:00:00  AM,40.858,33.978,,,,
214,08/27/10 11:00:00  AM,42.755,34.223,,,,
215,08/27/10 12:00:00  PM,44.582,45.534,,,,
216,08/27/10 01:00:00  PM,47.244,52.246,,,,
217,08/27/10 02:00:00  PM,49.116,55.906,,,,
218,08/27/10 03:00:00  PM,50.092,55.038,,,,
219,08/27/10 04:00:00  PM,50.841,52.641,,,,
220,08/27/10 05:00:00  PM,51.940,53.994,,,,
221,08/27/10 06:00:00  PM,52.860,58.498,,,,
222,08/27/10 07:00:00  PM,52.246,58.498,,,,
223,08/27/10 08:00:00  PM,49.825,52.817,,,,
224,08/27/10 09:00:00  PM,44.991,47.199,,,,
225,08/27/10 10:00:00  PM,42.064,41.463,,,,
226,08/27/10 11:00:00  PM,41.463,39.313,,,,
227,08/28/10 12:00:00  AM,40.998,38.037,,,,
228,08/28/10 01:00:00  AM,40.017,36.891,,,,
229,08/28/10 02:00:00  AM,39.643,36.169,,,,
230,08/28/10 03:00:00  AM,39.549,35.443,,,,
231,08/28/10 04:00:00  AM,38.653,34.907,,,,
232,08/28/10 05:00:00  AM,38.415,34.565,,,,
233,08/28/10 06:00:00  AM,38.273,34.174,,,,
234,08/28/10 07:00:00  AM,37.893,33.780,,,,
235,08/28/10 08:00:00  AM,38.179,34.075,,,,
236,08/28/10 09:00:00  AM,38.984,34.320,,,,
237,08/28/10 10:00:00  AM,40.111,34.761,,,,
238,08/28/10 11:00:00  AM,43.030,35.443,,,,
239,08/28/10 12:00:00  PM,44.627,44.355,,,,
240,08/28/10 01:00:00  PM,45.669,49.028,,,,
241,08/28/10 02:00:00  PM,47.334,51.809,,,,
242,08/28/10 03:00:00  PM,47.736,50.974,,,,
243,08/28/10 04:00:00  PM,46.796,53.384,,,,
244,08/28/10 05:00:00  PM,47.154,52.860,,,,
245,08/28/10 06:00:00  PM,46.571,51.589,,,,
246,08/28/10 07:00:00  PM,44.674,49.428,,,,
247,08/28/10 08:00:00  PM,43.534,45.896,,,,
248,08/28/10 09:00:00  PM,42.341,42.525,,,,
249,08/28/10 10:00:00  PM,41.554,40.111,,,,
250,08/28/10 11:00:00  PM,40.951,38.842,,,,
251,08/29/10 12:00:00  AM,41.277,39.124,,,,
252,08/29/10 01:00:00  AM,40.905,38.984,,,,
253,08/29/10 02:00:00  AM,39.502,37.893,,,,
254,08/29/10 03:00:00  AM,38.748,35.879,,,,
255,08/29/10 04:00:00  AM,39.830,36.266,,,,
256,08/29/10 05:00:00  AM,39.736,37.369,,,,
257,08/29/10 06:00:00  AM,38.984,36.986,,,,
258,08/29/10 07:00:00  AM,39.313,36.410,,,,
259,08/29/10 08:00:00  AM,39.267,37.751,,,,
260,08/29/10 09:00:00  AM,40.251,41.693,,,,
261,08/29/10 10:00:00  AM,40.764,45.896,,,,
262,08/29/10 11:00:00  AM,41.787,49.161,,,,
263,08/29/10 12:00:00  PM,43.443,52.992,,,,
264,08/29/10 01:00:00  PM,42.984,52.378,,,,
265,08/29/10 02:00:00  PM,45.624,53.078,,,,
266,08/29/10 03:00:00  PM,49.914,55.038,,,,
267,08/29/10 04:00:00  PM,49.204,52.686,,,,
268,08/29/10 05:00:00  PM,51.809,57.463,,,,
269,08/29/10 06:00:00  PM,52.817,58.239,,,,
270,08/29/10 07:00:00  PM,51.633,57.636,,,,
271,08/29/10 08:00:00  PM,49.604,52.903,,,,
272,08/29/10 09:00:00  PM,47.064,46.526,,,,
273,08/29/10 10:00:00  PM,44.809,39.970,,,,
274,08/29/10 11:00:00  PM,44.809,36.795,,,,
275,08/30/10 12:00:00  AM,44.991,36.698,,,,
276,08/30/10 01:00:00  AM,45.172,39.078,,,,
277,08/30/10 02:00:00  AM,44.173,38.273,,,,
278,08/30/10 03:00:00  AM,43.259,36.842,,,,
279,08/30/10 04:00:00  AM,42.570,35.298,,,,
280,08/30/10 05:00:00  AM,42.525,34.810,,,,
281,08/30/10 06:00:00  AM,42.708,36.505,,,,
282,08/30/10 07:00:00  AM,41.648,36.266,,,,
283,08/30/10 08:00:00  AM,41.322,36.120,,,,
284,08/30/10 09:00:00  AM,42.064,36.554,,,,
285,08/30/10 10:00:00  AM,42.755,36.939,,,,
286,08/30/10 11:00:00  AM,44.627,37.225,,,,
287,08/30/10 12:00:00  PM,46.481,45.986,,,,
288,08/30/10 01:00:00  PM,50.488,52.641,,,,
289,08/30/10 02:00:00  PM,49.116,55.429,,,,
290,08/30/10 03:00:00  PM,50.974,54.734,,,,
291,08/30/10 04:00:00  PM,50.974,51.148,,,,
292,08/30/10 05:00:00  PM,52.817,52.554,,,,
293,08/30/10 06:00:00  PM,53.209,54.473,,,,
294,08/30/10 07:00:00  PM,52.554,53.690,,,,
295,08/30/10 08:00:00  PM,51.940,52.860,,,,
296,08/30/10 09:00:00  PM,46.931,48.004,,,,
297,08/30/10 10:00:00  PM,45.444,44.719,,,,
298,08/30/10 11:00:00  PM,45.082,43.716,,,,
299,08/31/10 12:00:00  AM,43.808,43.075,,,,
300,08/31/10 01:00:00  AM,41.463,42.156,,,,
301,08/31/10 02:00:00  AM,42.156,41.601,,,,
302,08/31/10 03:00:00  AM,41.832,39.830,,,,
303,08/31/10 04:00:00  AM,41.463,38.415,,,,
304,08/31/10 05:00:00  AM,41.740,39.549,,,,
305,08/31/10 06:00:00  AM,41.832,40.064,,,,
306,08/31/10 07:00:00  AM,42.294,39.783,,,,
307,08/31/10 08:00:00  AM,42.386,40.251,,,,
308,08/31/10 09:00:00  AM,43.259,42.341,,,,
309,08/31/10 10:00:00  AM,42.294,44.127,,,,
310,08/31/10 11:00:00  AM,43.030,47.736,,,,
311,08/31/10 12:00:00  PM,43.534,48.850,,,,
312,08/31/10 01:00:00  PM,44.082,51.589,,,,
313,08/31/10 02:00:00  PM,45.082,51.105,,,,
314,08/31/10 03:00:00  PM,46.166,55.949,,,,
315,08/31/10 04:00:00  PM,44.218,53.472,,,,
316,08/31/10 05:00:00  PM,45.761,54.561,,,,
317,08/31/10 06:00:00  PM,45.262,52.291,,,,
318,08/31/10 07:00:00  PM,43.716,46.931,,,,
319,08/31/10 08:00:00  PM,43.624,46.931,,,,
320,08/31/10 09:00:00  PM,43.259,45.262,,,,
321,08/31/10 10:00:00  PM,42.341,42.892,,,,
322,08/31/10 11:00:00  PM,42.800,41.787,,,,
323,09/01/10 12:00:00  AM,42.708,41.693,,,,
324,09/01/10 01:00:00  AM,42.616,41.416,,,,
325,09/01/10 02:00:00  AM,42.708,41.230,,,,
326,09/01/10 03:00:00  AM,42.755,41.184,,,,
327,09/01/10 04:00:00  AM,43.075,41.322,,,,
328,09/01/10 05:00:00  AM,42.892,41.137,,,,
329,09/01/10 06:00:00  AM,42.847,41.322,,,,
330,09/01/10 07:00:00  AM,42.616,41.230,,,,
331,09/01/10 08:00:00  AM,42.570,41.787,,,,
332,09/01/10 09:00:00  AM,42.939,42.892,,,,
333,09/01/10 10:00:00  AM,43.259,43.900,,,,
334,09/01/10 11:00:00  AM,45.127,46.076,,,,
335,09/01/10 12:00:00  PM,45.307,48.450,,,,
336,09/01/10 01:00:00  PM,48.315,51.721,,,,
337,09/01/10 02:00:00  PM,49.737,54.255,,,,
338,09/01/10 03:00:00  PM,47.691,52.903,,,,
339,09/01/10 04:00:00  PM,48.049,53.602,,,,
340,09/01/10 05:00:00  PM,47.602,53.602,,,,
341,09/01/10 06:00:00  PM,45.307,49.825,,,,
342,09/01/10 07:00:00  PM,44.719,48.137,,,,
343,09/01/10 08:00:00  PM,43.443,45.444,,,,
344,09/01/10 09:00:00  PM,43.122,43.122,,,,
345,09/01/10 10:00:00  PM,42.156,41.648,,,,
346,09/01/10 11:00:00  PM,42.064,40.626,,,,
347,09/02/10 12:00:00  AM,41.787,40.017,,,,
348,09/02/10 01:00:00  AM,40.345,39.502,,,,
349,09/02/10 02:00:00  AM,40.626,39.454,,,,
350,09/02/10 03:00:00  AM,40.064,39.454,,,,
351,09/02/10 04:00:00  AM,38.984,39.454,,,,
352,09/02/10 05:00:00  AM,38.889,39.407,,,,
353,09/02/10 06:00:00  AM,38.842,39.360,,,,
354,09/02/10 07:00:00  AM,38.368,38.984,,,,
355,09/02/10 08:00:00  AM,35.492,35.928,,,,
356,09/02/10 09:00:00  AM,34.419,33.138,,,,
357,09/02/10 10:00:00  AM,35.152,36.459,,,,
358,09/02/10 11:00:00  AM,35.782,37.846,,,,
359,09/02/10 12:00:00  PM,36.795,42.892,,,,
360,09/02/10 01:00:00  PM,38.748,47.199,,,,
361,09/02/10 02:00:00  PM,40.951,49.561,,,,
362,09/02/10 03:00:00  PM,41.693,53.166,,,,
363,09/02/10 04:00:00  PM,42.663,51.501,,,,
364,09/02/10 05:00:00  PM,43.808,50.092,,,,
365,09/02/10 06:00:00  PM,44.218,48.272,,,,
366,09/02/10 07:00:00  PM,44.901,48.450,,,,
367,09/02/10 08:00:00  PM,42.800,46.526,,,,
368,09/02/10 09:00:00  PM,42.109,42.984,,,,
369,09/02/10 10:00:00  PM,41.648,40.111,,,,
370,09/02/10 11:00:00  PM,40.858,38.937,,,,
371,09/03/10 12:00:00  AM,40.485,37.465,,,,
372,09/03/10 01:00:00  AM,40.111,37.225,,,,
373,09/03/10 02:00:00  AM,39.690,36.939,,,,
374,09/03/10 03:00:00  AM,38.037,35.298,,,,
375,09/03/10 04:00:00  AM,39.173,34.713,,,,
376,09/03/10 05:00:00  AM,38.748,34.419,,,,
377,09/03/10 06:00:00  AM,37.081,34.371,,,,
378,09/03/10 07:00:00  AM,37.369,34.664,,,,
379,09/03/10 08:00:00  AM,37.798,36.603,,,,
380,09/03/10 09:00:00  AM,38.179,38.322,,,,
381,09/03/10 10:00:00  AM,38.226,39.313,,,,
382,09/03/10 11:00:00  AM,38.795,41.463,,,,
383,09/03/10 12:00:00  PM,39.407,44.082,,,,
384,09/03/10 01:00:00  PM,39.924,45.172,,,,
385,09/03/10 02:00:00  PM,40.764,49.516,,,,
386,09/03/10 03:00:00  PM,40.345,49.249,,,,
387,09/03/10 04:00:00  PM,41.508,49.692,,,,
388,09/03/10 05:00:00  PM,42.247,51.237,,,,
389,09/03/10 06:00:00  PM,44.764,51.678,,,,
390,09/03/10 07:00:00  PM,43.259,52.686,,,,
391,09/03/10 08:00:00  PM,41.043,46.886,,,,
392,09/03/10 09:00:00  PM,40.579,43.945,,,,
393,09/03/10 10:00:00  PM,40.204,42.386,,,,
394,09/03/10 11:00:00  PM,40.626,41.601,,,,
395,09/04/10 12:00:00  AM,40.345,41.277,,,,
396,09/04/10 01:00:00  AM,40.064,41.043,,,,
397,09/04/10 02:00:00  AM,39.643,40.811,,,,
398,09/04/10 03:00:00  AM,39.220,40.298,,,,
399,09/04/10 04:00:00  AM,39.596,39.783,,,,
400,09/04/10 05:00:00  AM,39.454,39.783,,,,
401,09/04/10 06:00:00  AM,39.220,39.549,,,,
402,09/04/10 07:00:00  AM,39.924,39.267,,,,
403,09/04/10 08:00:00  AM,39.783,39.454,,,,
404,09/04/10 09:00:00  AM,40.251,41.137,,,,
405,09/04/10 10:00:00  AM,40.345,44.946,,,,
406,09/04/10 11:00:00  AM,41.463,48.137,,,,
407,09/04/10 12:00:00  PM,43.900,51.370,,,,
408,09/04/10 01:00:00  PM,46.031,52.597,,,,
409,09/04/10 02:00:00  PM,48.850,55.386,,,,
410,09/04/10 03:00:00  PM,47.736,55.515,,,,
411,09/04/10 04:00:00  PM,50.886,56.340,,,,
412,09/04/10 05:00:00  PM,50.886,56.208,,,,
413,09/04/10 06:00:00  PM,51.413,54.734,,,,
414,09/04/10 07:00:00  PM,50.002,52.072,,,,
415,09/04/10 08:00:00  PM,48.315,48.538,,,,
416,09/04/10 09:00:00  PM,43.443,42.939,,,,
417,09/04/10 10:00:00  PM,41.043,40.017,,,,
418,09/04/10 11:00:00  PM,40.764,38.795,,,,
419,09/05/10 12:00:00  AM,39.407,37.656,,,,
420,09/05/10 01:00:00  AM,38.937,36.842,,,,
421,09/05/10 02:00:00  AM,38.322,36.169,,,,
422,09/05/10 03:00:00  AM,38.179,35.782,,,,
423,09/05/10 04:00:00  AM,37.846,35.541,,,,
424,09/05/10 05:00:00  AM,37.989,35.298,,,,
425,09/05/10 06:00:00  AM,37.798,35.152,,,,
426,09/05/10 07:00:00  AM,36.361,34.419,,,,
427,09/05/10 08:00:00  AM,38.557,35.638,,,,
428,09/05/10 09:00:00  AM,39.643,38.084,,,,
429,09/05/10 10:00:00  AM,39.267,39.924,,,,
430,09/05/10 11:00:00  AM,37.656,40.392,,,,
431,09/05/10 12:00:00  PM,36.842,40.764,,,,
432,09/05/10 01:00:00  PM,36.410,40.951,,,,
433,09/05/10 02:00:00  PM,36.217,40.672,,,,
434,09/05/10 03:00:00  PM,36.266,41.787,,,,
435,09/05/10 04:00:00  PM,35.541,41.322,,,,
436,09/05/10 05:00:00  PM,36.313,40.764,,,,
437,09/05/10 06:00:00  PM,35.055,40.485,,,,
438,09/05/10 07:00:00  PM,35.589,38.795,,,,
439,09/05/10 08:00:00  PM,35.685,39.549,,,,
440,09/05/10 09:00:00  PM,35.200,38.511,,,,
441,09/05/10 10:00:00  PM,35.443,37.702,,,,
442,09/05/10 11:00:00  PM,35.152,37.274,,,,
443,09/06/10 12:00:00  AM,35.685,37.081,,,,
444,09/06/10 01:00:00  AM,35.638,36.986,,,,
445,09/06/10 02:00:00  AM,35.298,36.891,,,,
446,09/06/10 03:00:00  AM,35.638,36.986,,,,
447,09/06/10 04:00:00  AM,35.830,37.035,,,,
448,09/06/10 05:00:00  AM,35.879,37.130,,,,
449,09/06/10 06:00:00  AM,35.830,37.130,,,,
450,09/06/10 07:00:00  AM,36.025,37.179,,,,
451,09/06/10 08:00:00  AM,36.217,37.416,,,,
452,09/06/10 09:00:00  AM,36.698,38.842,,,,
453,09/06/10 10:00:00  AM,37.702,41.322,,,,
454,09/06/10 11:00:00  AM,38.368,41.693,,,,
455,09/06/10 12:00:00  PM,39.267,43.167,,,,
456,09/06/10 01:00:00  PM,39.596,43.259,,,,
457,09/06/10 02:00:00  PM,40.017,42.478,,,,
458,09/06/10 03:00:00  PM,40.064,42.386,,,,
459,09/06/10 04:00:00  PM,40.951,43.624,,,,
460,09/06/10 05:00:00  PM,41.137,43.716,,,,
461,09/06/10 06:00:00  PM,41.463,43.351,,,,
462,09/06/10 07:00:00  PM,41.693,43.075,,,,
463,09/06/10 08:00:00  PM,41.925,42.755,,,,
464,09/06/10 09:00:00  PM,42.109,42.386,,,,
465,09/06/10 10:00:00  PM,42.247,42.202,,,,
466,09/06/10 11:00:00  PM,41.970,41.648,,,,
467,09/07/10 12:00:00  AM,42.064,41.508,,,,
468,09/07/10 01:00:00  AM,41.970,41.416,,,,
469,09/07/10 02:00:00  AM,41.508,39.313,,,,
470,09/07/10 03:00:00  AM,41.277,37.846,,,,
