"Plot Title: 9724974"
#,Date Time,Temp (°F) LGR S/N: 9724974 c:1,Temp (°F) LGR S/N: 9724974 c:2,Coupler Detached LGR S/N: 9724974,Coupler Attached LGR S/N: 9724974,Host Connected LGR S/N: 9724974,End Of File LGR S/N: 9724974
56,10-08-20 09:00:00  PM,39 454,44 809,,,,
57,10-08-20 10:00:00  PM,40 204,41 740,,,,
58,10-08-20 11:00:00  PM,39 596,39 830,,,,
59,10-08-21 12:00:00  AM,39 690,39 877,,,,
60,10-08-21 01:00:00  AM,39 407,38 700,,,,
61,10-08-21 02:00:00  AM,38 842,36 795,,,,
62,10-08-21 03:00:00  AM,37 942,35 443,,,,
63,10-08-21 04:00:00  AM,38 606,36 217,,,,
64,10-08-21 05:00:00  AM,39 124,37 035,,,,
65,10-08-21 06:00:00  AM,38 937,37 513,,,,
66,10-08-21 07:00:00  AM,38 842,38 131,,,,
67,10-08-21 08:00:00  AM,39 267,40 485,,,,
68,10-08-21 09:00:00  AM,40 064,43 808,,,,
69,10-08-21 10:00:00  AM,40 438,46 166,,,,
70,10-08-21 11:00:00  AM,42 433,50 576,,,,
71,10-08-21 12:00:00  PM,42 064,52 992,,,,
72,10-08-21 01:00:00  PM,44 355,55 690,,,,
73,10-08-21 02:00:00  PM,46 076,56 901,,,,
74,10-08-21 03:00:00  PM,45 761,56 988,,,,
75,10-08-21 04:00:00  PM,45 354,56 988,,,,
76,10-08-21 05:00:00  PM,45 262,55 690,,,,
77,10-08-21 06:00:00  PM,46 391,56 944,,,,
78,10-08-21 07:00:00  PM,45 444,52 729,,,,
79,10-08-21 08:00:00  PM,47 154,50 664,,,,
80,10-08-21 09:00:00  PM,44 127,47 647,,,,
81,10-08-21 10:00:00  PM,43 716,43 214,,,,
82,10-08-21 11:00:00  PM,43 351,41 508,,,,
83,10-08-22 12:00:00  AM,42 939,40 626,,,,
84,10-08-22 01:00:00  AM,42 064,39 454,,,,
85,10-08-22 02:00:00  AM,41 554,38 984,,,,
86,10-08-22 03:00:00  AM,40 811,38 464,,,,
87,10-08-22 04:00:00  AM,40 626,38 037,,,,
88,10-08-22 05:00:00  AM,39 970,37 416,,,,
89,10-08-22 06:00:00  AM,39 502,36 603,,,,
90,10-08-22 07:00:00  AM,39 220,35 492,,,,
91,10-08-22 08:00:00  AM,39 502,36 410,,,,
92,10-08-22 09:00:00  AM,40 345,36 747,,,,
93,10-08-22 10:00:00  AM,41 554,36 698,,,,
94,10-08-22 11:00:00  AM,44 991,40 438,,,,
95,10-08-22 12:00:00  PM,45 399,48 583,,,,
96,10-08-22 01:00:00  PM,44 719,46 931,,,,
97,10-08-22 02:00:00  PM,47 109,50 356,,,,
98,10-08-22 03:00:00  PM,47 064,49 825,,,,
99,10-08-22 04:00:00  PM,48 315,48 137,,,,
100,10-08-22 05:00:00  PM,48 004,49 604,,,,
101,10-08-22 06:00:00  PM,47 064,50 135,,,,
102,10-08-22 07:00:00  PM,44 310,46 436,,,,
103,10-08-22 08:00:00  PM,43 990,44 445,,,,
104,10-08-22 09:00:00  PM,42 755,42 386,,,,
105,10-08-22 10:00:00  PM,42 433,41 230,,,,
106,10-08-22 11:00:00  PM,42 109,40 532,,,,
107,10-08-23 12:00:00  AM,41 277,40 111,,,,
108,10-08-23 01:00:00  AM,40 764,39 502,,,,
109,10-08-23 02:00:00  AM,40 672,39 643,,,,
110,10-08-23 03:00:00  AM,40 392,39 502,,,,
111,10-08-23 04:00:00  AM,40 532,38 700,,,,
112,10-08-23 05:00:00  AM,40 579,37 513,,,,
113,10-08-23 06:00:00  AM,39 596,36 459,,,,
114,10-08-23 07:00:00  AM,39 970,35 879,,,,
115,10-08-23 08:00:00  AM,40 438,36 554,,,,
116,10-08-23 09:00:00  AM,41 043,39 877,,,,
117,10-08-23 10:00:00  AM,43 122,43 443,,,,
118,10-08-23 11:00:00  AM,43 900,47 826,,,,
119,10-08-23 12:00:00  PM,43 853,47 422,,,,
120,10-08-23 01:00:00  PM,43 214,47 647,,,,
121,10-08-23 02:00:00  PM,43 396,48 938,,,,
122,10-08-23 03:00:00  PM,43 396,49 737,,,,
123,10-08-23 04:00:00  PM,42 755,49 249,,,,
124,10-08-23 05:00:00  PM,42 341,49 116,,,,
125,10-08-23 06:00:00  PM,41 693,47 557,,,,
126,10-08-23 07:00:00  PM,41 554,46 346,,,,
127,10-08-23 08:00:00  PM,41 416,45 082,,,,
128,10-08-23 09:00:00  PM,41 043,43 351,,,,
129,10-08-23 10:00:00  PM,41 230,41 925,,,,
130,10-08-23 11:00:00  PM,40 532,40 719,,,,
131,10-08-24 12:00:00  AM,40 858,40 719,,,,
132,10-08-24 01:00:00  AM,40 672,40 111,,,,
133,10-08-24 02:00:00  AM,39 736,38 606,,,,
134,10-08-24 03:00:00  AM,39 830,38 226,,,,
135,10-08-24 04:00:00  AM,39 549,38 511,,,,
136,10-08-24 05:00:00  AM,39 830,38 511,,,,
137,10-08-24 06:00:00  AM,39 736,39 407,,,,
138,10-08-24 07:00:00  AM,39 078,39 124,,,,
139,10-08-24 08:00:00  AM,40 345,39 830,,,,
140,10-08-24 09:00:00  AM,40 204,41 043,,,,
141,10-08-24 10:00:00  AM,40 345,43 808,,,,
142,10-08-24 11:00:00  AM,42 616,49 428,,,,
143,10-08-24 12:00:00  PM,42 984,51 105,,,,
144,10-08-24 01:00:00  PM,43 167,50 047,,,,
145,10-08-24 02:00:00  PM,44 537,53 166,,,,
146,10-08-24 03:00:00  PM,45 986,56 251,,,,
147,10-08-24 04:00:00  PM,44 263,53 298,,,,
148,10-08-24 05:00:00  PM,45 941,55 125,,,,
149,10-08-24 06:00:00  PM,46 526,54 604,,,,
150,10-08-24 07:00:00  PM,45 986,54 691,,,,
151,10-08-24 08:00:00  PM,44 492,49 692,,,,
152,10-08-24 09:00:00  PM,43 990,46 481,,,,
153,10-08-24 10:00:00  PM,44 400,44 719,,,,
154,10-08-24 11:00:00  PM,42 755,43 945,,,,
155,10-08-25 12:00:00  AM,42 616,43 443,,,,
156,10-08-25 01:00:00  AM,42 478,42 984,,,,
157,10-08-25 02:00:00  AM,41 648,42 847,,,,
158,10-08-25 03:00:00  AM,41 277,42 800,,,,
159,10-08-25 04:00:00  AM,40 905,42 433,,,,
160,10-08-25 05:00:00  AM,40 017,42 017,,,,
161,10-08-25 06:00:00  AM,40 017,41 508,,,,
162,10-08-25 07:00:00  AM,39 220,41 137,,,,
163,10-08-25 08:00:00  AM,39 549,41 463,,,,
164,10-08-25 09:00:00  AM,39 877,42 708,,,,
165,10-08-25 10:00:00  AM,40 158,44 218,,,,
166,10-08-25 11:00:00  AM,40 672,48 717,,,,
167,10-08-25 12:00:00  PM,41 970,51 325,,,,
168,10-08-25 01:00:00  PM,42 294,51 017,,,,
169,10-08-25 02:00:00  PM,42 525,50 576,,,,
170,10-08-25 03:00:00  PM,44 173,56 340,,,,
171,10-08-25 04:00:00  PM,43 443,60 003,,,,
172,10-08-25 05:00:00  PM,42 663,50 621,,,,
173,10-08-25 06:00:00  PM,42 939,50 709,,,,
174,10-08-25 07:00:00  PM,42 892,52 029,,,,
175,10-08-25 08:00:00  PM,41 184,48 450,,,,
176,10-08-25 09:00:00  PM,40 905,45 624,,,,
177,10-08-25 10:00:00  PM,41 137,44 173,,,,
178,10-08-25 11:00:00  PM,40 626,43 579,,,,
179,10-08-26 12:00:00  AM,40 672,42 984,,,,
180,10-08-26 01:00:00  AM,40 298,42 616,,,,
181,10-08-26 02:00:00  AM,40 111,42 247,,,,
182,10-08-26 03:00:00  AM,39 877,41 693,,,,
183,10-08-26 04:00:00  AM,39 643,41 508,,,,
184,10-08-26 05:00:00  AM,39 736,40 017,,,,
185,10-08-26 06:00:00  AM,40 111,40 532,,,,
186,10-08-26 07:00:00  AM,39 877,40 626,,,,
187,10-08-26 08:00:00  AM,40 298,40 905,,,,
188,10-08-26 09:00:00  AM,40 298,41 322,,,,
189,10-08-26 10:00:00  AM,40 485,42 708,,,,
190,10-08-26 11:00:00  AM,40 579,44 355,,,,
191,10-08-26 12:00:00  PM,40 626,44 719,,,,
192,10-08-26 01:00:00  PM,41 787,49 028,,,,
193,10-08-26 02:00:00  PM,43 534,50 002,,,,
194,10-08-26 03:00:00  PM,39 877,44 218,,,,
195,10-08-26 04:00:00  PM,40 858,37 321,,,,
196,10-08-26 05:00:00  PM,43 900,47 871,,,,
197,10-08-26 06:00:00  PM,43 900,54 212,,,,
198,10-08-26 07:00:00  PM,42 525,47 199,,,,
199,10-08-26 08:00:00  PM,44 991,47 019,,,,
200,10-08-26 09:00:00  PM,42 017,43 716,,,,
201,10-08-26 10:00:00  PM,42 109,39 031,,,,
202,10-08-26 11:00:00  PM,41 508,37 369,,,,
203,10-08-27 12:00:00  AM,41 322,35 638,,,,
204,10-08-27 01:00:00  AM,40 811,34 761,,,,
205,10-08-27 02:00:00  AM,40 251,33 386,,,,
206,10-08-27 03:00:00  AM,40 345,33 831,,,,
207,10-08-27 04:00:00  AM,39 549,34 075,,,,
208,10-08-27 05:00:00  AM,39 173,33 978,,,,
209,10-08-27 06:00:00  AM,38 889,33 928,,,,
210,10-08-27 07:00:00  AM,38 984,33 879,,,,
211,10-08-27 08:00:00  AM,39 313,33 928,,,,
212,10-08-27 09:00:00  AM,39 830,33 978,,,,
213,10-08-27 10:00:00  AM,40 858,33 978,,,,
214,10-08-27 11:00:00  AM,42 755,34 223,,,,
215,10-08-27 12:00:00  PM,44 582,45 534,,,,
216,10-08-27 01:00:00  PM,47 244,52 246,,,,
217,10-08-27 02:00:00  PM,49 116,55 906,,,,
218,10-08-27 03:00:00  PM,50 092,55 038,,,,
219,10-08-27 04:00:00  PM,50 841,52 641,,,,
220,10-08-27 05:00:00  PM,51 940,53 994,,,,
221,10-08-27 06:00:00  PM,52 860,58 498,,,,
222,10-08-27 07:00:00  PM,52 246,58 498,,,,
223,10-08-27 08:00:00  PM,49 825,52 817,,,,
224,10-08-27 09:00:00  PM,44 991,47 199,,,,
225,10-08-27 10:00:00  PM,42 064,41 463,,,,
226,10-08-27 11:00:00  PM,41 463,39 313,,,,
227,10-08-28 12:00:00  AM,40 998,38 037,,,,
228,10-08-28 01:00:00  AM,40 017,36 891,,,,
229,10-08-28 02:00:00  AM,39 643,36 169,,,,
230,10-08-28 03:00:00  AM,39 549,35 443,,,,
231,10-08-28 04:00:00  AM,38 653,34 907,,,,
232,10-08-28 05:00:00  AM,38 415,34 565,,,,
233,10-08-28 06:00:00  AM,38 273,34 174,,,,
234,10-08-28 07:00:00  AM,37 893,33 780,,,,
235,10-08-28 08:00:00  AM,38 179,34 075,,,,
236,10-08-28 09:00:00  AM,38 984,34 320,,,,
237,10-08-28 10:00:00  AM,40 111,34 761,,,,
238,10-08-28 11:00:00  AM,43 030,35 443,,,,
239,10-08-28 12:00:00  PM,44 627,44 355,,,,
240,10-08-28 01:00:00  PM,45 669,49 028,,,,
241,10-08-28 02:00:00  PM,47 334,51 809,,,,
242,10-08-28 03:00:00  PM,47 736,50 974,,,,
243,10-08-28 04:00:00  PM,46 796,53 384,,,,
244,10-08-28 05:00:00  PM,47 154,52 860,,,,
245,10-08-28 06:00:00  PM,46 571,51 589,,,,
246,10-08-28 07:00:00  PM,44 674,49 428,,,,
247,10-08-28 08:00:00  PM,43 534,45 896,,,,
248,10-08-28 09:00:00  PM,42 341,42 525,,,,
249,10-08-28 10:00:00  PM,41 554,40 111,,,,
250,10-08-28 11:00:00  PM,40 951,38 842,,,,
251,10-08-29 12:00:00  AM,41 277,39 124,,,,
252,10-08-29 01:00:00  AM,40 905,38 984,,,,
253,10-08-29 02:00:00  AM,39 502,37 893,,,,
254,10-08-29 03:00:00  AM,38 748,35 879,,,,
255,10-08-29 04:00:00  AM,39 830,36 266,,,,
256,10-08-29 05:00:00  AM,39 736,37 369,,,,
257,10-08-29 06:00:00  AM,38 984,36 986,,,,
258,10-08-29 07:00:00  AM,39 313,36 410,,,,
259,10-08-29 08:00:00  AM,39 267,37 751,,,,
260,10-08-29 09:00:00  AM,40 251,41 693,,,,
261,10-08-29 10:00:00  AM,40 764,45 896,,,,
262,10-08-29 11:00:00  AM,41 787,49 161,,,,
263,10-08-29 12:00:00  PM,43 443,52 992,,,,
264,10-08-29 01:00:00  PM,42 984,52 378,,,,
265,10-08-29 02:00:00  PM,45 624,53 078,,,,
266,10-08-29 03:00:00  PM,49 914,55 038,,,,
267,10-08-29 04:00:00  PM,49 204,52 686,,,,
268,10-08-29 05:00:00  PM,51 809,57 463,,,,
269,10-08-29 06:00:00  PM,52 817,58 239,,,,
270,10-08-29 07:00:00  PM,51 633,57 636,,,,
271,10-08-29 08:00:00  PM,49 604,52 903,,,,
272,10-08-29 09:00:00  PM,47 064,46 526,,,,
273,10-08-29 10:00:00  PM,44 809,39 970,,,,
274,10-08-29 11:00:00  PM,44 809,36 795,,,,
275,10-08-30 12:00:00  AM,44 991,36 698,,,,
276,10-08-30 01:00:00  AM,45 172,39 078,,,,
277,10-08-30 02:00:00  AM,44 173,38 273,,,,
278,10-08-30 03:00:00  AM,43 259,36 842,,,,
279,10-08-30 04:00:00  AM,42 570,35 298,,,,
280,10-08-30 05:00:00  AM,42 525,34 810,,,,
281,10-08-30 06:00:00  AM,42 708,36 505,,,,
282,10-08-30 07:00:00  AM,41 648,36 266,,,,
283,10-08-30 08:00:00  AM,41 322,36 120,,,,
284,10-08-30 09:00:00  AM,42 064,36 554,,,,
285,10-08-30 10:00:00  AM,42 755,36 939,,,,
286,10-08-30 11:00:00  AM,44 627,37 225,,,,
287,10-08-30 12:00:00  PM,46 481,45 986,,,,
288,10-08-30 01:00:00  PM,50 488,52 641,,,,
289,10-08-30 02:00:00  PM,49 116,55 429,,,,
290,10-08-30 03:00:00  PM,50 974,54 734,,,,
291,10-08-30 04:00:00  PM,50 974,51 148,,,,
292,10-08-30 05:00:00  PM,52 817,52 554,,,,
293,10-08-30 06:00:00  PM,53 209,54 473,,,,
294,10-08-30 07:00:00  PM,52 554,53 690,,,,
295,10-08-30 08:00:00  PM,51 940,52 860,,,,
296,10-08-30 09:00:00  PM,46 931,48 004,,,,
297,10-08-30 10:00:00  PM,45 444,44 719,,,,
298,10-08-30 11:00:00  PM,45 082,43 716,,,,
299,10-08-31 12:00:00  AM,43 808,43 075,,,,
300,10-08-31 01:00:00  AM,41 463,42 156,,,,
301,10-08-31 02:00:00  AM,42 156,41 601,,,,
302,10-08-31 03:00:00  AM,41 832,39 830,,,,
303,10-08-31 04:00:00  AM,41 463,38 415,,,,
304,10-08-31 05:00:00  AM,41 740,39 549,,,,
305,10-08-31 06:00:00  AM,41 832,40 064,,,,
306,10-08-31 07:00:00  AM,42 294,39 783,,,,
307,10-08-31 08:00:00  AM,42 386,40 251,,,,
308,10-08-31 09:00:00  AM,43 259,42 341,,,,
309,10-08-31 10:00:00  AM,42 294,44 127,,,,
310,10-08-31 11:00:00  AM,43 030,47 736,,,,
311,10-08-31 12:00:00  PM,43 534,48 850,,,,
312,10-08-31 01:00:00  PM,44 082,51 589,,,,
313,10-08-31 02:00:00  PM,45 082,51 105,,,,
314,10-08-31 03:00:00  PM,46 166,55 949,,,,
315,10-08-31 04:00:00  PM,44 218,53 472,,,,
316,10-08-31 05:00:00  PM,45 761,54 561,,,,
317,10-08-31 06:00:00  PM,45 262,52 291,,,,
318,10-08-31 07:00:00  PM,43 716,46 931,,,,
319,10-08-31 08:00:00  PM,43 624,46 931,,,,
320,10-08-31 09:00:00  PM,43 259,45 262,,,,
321,10-08-31 10:00:00  PM,42 341,42 892,,,,
322,10-08-31 11:00:00  PM,42 800,41 787,,,,
323,10-09-01 12:00:00  AM,42 708,41 693,,,,
324,10-09-01 01:00:00  AM,42 616,41 416,,,,
325,10-09-01 02:00:00  AM,42 708,41 230,,,,
326,10-09-01 03:00:00  AM,42 755,41 184,,,,
327,10-09-01 04:00:00  AM,43 075,41 322,,,,
328,10-09-01 05:00:00  AM,42 892,41 137,,,,
329,10-09-01 06:00:00  AM,42 847,41 322,,,,
330,10-09-01 07:00:00  AM,42 616,41 230,,,,
331,10-09-01 08:00:00  AM,42 570,41 787,,,,
332,10-09-01 09:00:00  AM,42 939,42 892,,,,
333,10-09-01 10:00:00  AM,43 259,43 900,,,,
334,10-09-01 11:00:00  AM,45 127,46 076,,,,
335,10-09-01 12:00:00  PM,45 307,48 450,,,,
336,10-09-01 01:00:00  PM,48 315,51 721,,,,
337,10-09-01 02:00:00  PM,49 737,54 255,,,,
338,10-09-01 03:00:00  PM,47 691,52 903,,,,
339,10-09-01 04:00:00  PM,48 049,53 602,,,,
340,10-09-01 05:00:00  PM,47 602,53 602,,,,
341,10-09-01 06:00:00  PM,45 307,49 825,,,,
342,10-09-01 07:00:00  PM,44 719,48 137,,,,
343,10-09-01 08:00:00  PM,43 443,45 444,,,,
344,10-09-01 09:00:00  PM,43 122,43 122,,,,
345,10-09-01 10:00:00  PM,42 156,41 648,,,,
346,10-09-01 11:00:00  PM,42 064,40 626,,,,
347,10-09-02 12:00:00  AM,41 787,40 017,,,,
348,10-09-02 01:00:00  AM,40 345,39 502,,,,
349,10-09-02 02:00:00  AM,40 626,39 454,,,,
350,10-09-02 03:00:00  AM,40 064,39 454,,,,
351,10-09-02 04:00:00  AM,38 984,39 454,,,,
352,10-09-02 05:00:00  AM,38 889,39 407,,,,
353,10-09-02 06:00:00  AM,38 842,39 360,,,,
354,10-09-02 07:00:00  AM,38 368,38 984,,,,
355,10-09-02 08:00:00  AM,35 492,35 928,,,,
356,10-09-02 09:00:00  AM,34 419,33 138,,,,
357,10-09-02 10:00:00  AM,35 152,36 459,,,,
358,10-09-02 11:00:00  AM,35 782,37 846,,,,
359,10-09-02 12:00:00  PM,36 795,42 892,,,,
360,10-09-02 01:00:00  PM,38 748,47 199,,,,
361,10-09-02 02:00:00  PM,40 951,49 561,,,,
362,10-09-02 03:00:00  PM,41 693,53 166,,,,
363,10-09-02 04:00:00  PM,42 663,51 501,,,,
364,10-09-02 05:00:00  PM,43 808,50 092,,,,
365,10-09-02 06:00:00  PM,44 218,48 272,,,,
366,10-09-02 07:00:00  PM,44 901,48 450,,,,
367,10-09-02 08:00:00  PM,42 800,46 526,,,,
368,10-09-02 09:00:00  PM,42 109,42 984,,,,
369,10-09-02 10:00:00  PM,41 648,40 111,,,,
370,10-09-02 11:00:00  PM,40 858,38 937,,,,
371,10-09-03 12:00:00  AM,40 485,37 465,,,,
372,10-09-03 01:00:00  AM,40 111,37 225,,,,
373,10-09-03 02:00:00  AM,39 690,36 939,,,,
374,10-09-03 03:00:00  AM,38 037,35 298,,,,
375,10-09-03 04:00:00  AM,39 173,34 713,,,,
376,10-09-03 05:00:00  AM,38 748,34 419,,,,
377,10-09-03 06:00:00  AM,37 081,34 371,,,,
378,10-09-03 07:00:00  AM,37 369,34 664,,,,
379,10-09-03 08:00:00  AM,37 798,36 603,,,,
380,10-09-03 09:00:00  AM,38 179,38 322,,,,
381,10-09-03 10:00:00  AM,38 226,39 313,,,,
382,10-09-03 11:00:00  AM,38 795,41 463,,,,
383,10-09-03 12:00:00  PM,39 407,44 082,,,,
384,10-09-03 01:00:00  PM,39 924,45 172,,,,
385,10-09-03 02:00:00  PM,40 764,49 516,,,,
386,10-09-03 03:00:00  PM,40 345,49 249,,,,
387,10-09-03 04:00:00  PM,41 508,49 692,,,,
388,10-09-03 05:00:00  PM,42 247,51 237,,,,
389,10-09-03 06:00:00  PM,44 764,51 678,,,,
390,10-09-03 07:00:00  PM,43 259,52 686,,,,
391,10-09-03 08:00:00  PM,41 043,46 886,,,,
392,10-09-03 09:00:00  PM,40 579,43 945,,,,
393,10-09-03 10:00:00  PM,40 204,42 386,,,,
394,10-09-03 11:00:00  PM,40 626,41 601,,,,
395,10-09-04 12:00:00  AM,40 345,41 277,,,,
396,10-09-04 01:00:00  AM,40 064,41 043,,,,
397,10-09-04 02:00:00  AM,39 643,40 811,,,,
398,10-09-04 03:00:00  AM,39 220,40 298,,,,
399,10-09-04 04:00:00  AM,39 596,39 783,,,,
400,10-09-04 05:00:00  AM,39 454,39 783,,,,
401,10-09-04 06:00:00  AM,39 220,39 549,,,,
402,10-09-04 07:00:00  AM,39 924,39 267,,,,
403,10-09-04 08:00:00  AM,39 783,39 454,,,,
404,10-09-04 09:00:00  AM,40 251,41 137,,,,
405,10-09-04 10:00:00  AM,40 345,44 946,,,,
406,10-09-04 11:00:00  AM,41 463,48 137,,,,
407,10-09-04 12:00:00  PM,43 900,51 370,,,,
408,10-09-04 01:00:00  PM,46 031,52 597,,,,
409,10-09-04 02:00:00  PM,48 850,55 386,,,,
410,10-09-04 03:00:00  PM,47 736,55 515,,,,
411,10-09-04 04:00:00  PM,50 886,56 340,,,,
412,10-09-04 05:00:00  PM,50 886,56 208,,,,
413,10-09-04 06:00:00  PM,51 413,54 734,,,,
414,10-09-04 07:00:00  PM,50 002,52 072,,,,
415,10-09-04 08:00:00  PM,48 315,48 538,,,,
416,10-09-04 09:00:00  PM,43 443,42 939,,,,
417,10-09-04 10:00:00  PM,41 043,40 017,,,,
418,10-09-04 11:00:00  PM,40 764,38 795,,,,
419,10-09-05 12:00:00  AM,39 407,37 656,,,,
420,10-09-05 01:00:00  AM,38 937,36 842,,,,
421,10-09-05 02:00:00  AM,38 322,36 169,,,,
422,10-09-05 03:00:00  AM,38 179,35 782,,,,
423,10-09-05 04:00:00  AM,37 846,35 541,,,,
424,10-09-05 05:00:00  AM,37 989,35 298,,,,
425,10-09-05 06:00:00  AM,37 798,35 152,,,,
426,10-09-05 07:00:00  AM,36 361,34 419,,,,
427,10-09-05 08:00:00  AM,38 557,35 638,,,,
428,10-09-05 09:00:00  AM,39 643,38 084,,,,
429,10-09-05 10:00:00  AM,39 267,39 924,,,,
430,10-09-05 11:00:00  AM,37 656,40 392,,,,
431,10-09-05 12:00:00  PM,36 842,40 764,,,,
432,10-09-05 01:00:00  PM,36 410,40 951,,,,
433,10-09-05 02:00:00  PM,36 217,40 672,,,,
434,10-09-05 03:00:00  PM,36 266,41 787,,,,
435,10-09-05 04:00:00  PM,35 541,41 322,,,,
436,10-09-05 05:00:00  PM,36 313,40 764,,,,
437,10-09-05 06:00:00  PM,35 055,40 485,,,,
438,10-09-05 07:00:00  PM,35 589,38 795,,,,
439,10-09-05 08:00:00  PM,35 685,39 549,,,,
440,10-09-05 09:00:00  PM,35 200,38 511,,,,
441,10-09-05 10:00:00  PM,35 443,37 702,,,,
442,10-09-05 11:00:00  PM,35 152,37 274,,,,
443,10-09-06 12:00:00  AM,35 685,37 081,,,,
444,10-09-06 01:00:00  AM,35 638,36 986,,,,
445,10-09-06 02:00:00  AM,35 298,36 891,,,,
446,10-09-06 03:00:00  AM,35 638,36 986,,,,
447,10-09-06 04:00:00  AM,35 830,37 035,,,,
448,10-09-06 05:00:00  AM,35 879,37 130,,,,
449,10-09-06 06:00:00  AM,35 830,37 130,,,,
450,10-09-06 07:00:00  AM,36 025,37 179,,,,
451,10-09-06 08:00:00  AM,36 217,37 416,,,,
452,10-09-06 09:00:00  AM,36 698,38 842,,,,
453,10-09-06 10:00:00  AM,37 702,41 322,,,,
454,10-09-06 11:00:00  AM,38 368,41 693,,,,
455,10-09-06 12:00:00  PM,39 267,43 167,,,,
456,10-09-06 01:00:00  PM,39 596,43 259,,,,
457,10-09-06 02:00:00  PM,40 017,42 478,,,,
458,10-09-06 03:00:00  PM,40 064,42 386,,,,
459,10-09-06 04:00:00  PM,40 951,43 624,,,,
460,10-09-06 05:00:00  PM,41 137,43 716,,,,
461,10-09-06 06:00:00  PM,41 463,43 351,,,,
462,10-09-06 07:00:00  PM,41 693,43 075,,,,
463,10-09-06 08:00:00  PM,41 925,42 755,,,,
464,10-09-06 09:00:00  PM,42 109,42 386,,,,
465,10-09-06 10:00:00  PM,42 247,42 202,,,,
466,10-09-06 11:00:00  PM,41 970,41 648,,,,
467,10-09-07 12:00:00  AM,42 064,41 508,,,,
468,10-09-07 01:00:00  AM,41 970,41 416,,,,
469,10-09-07 02:00:00  AM,41 508,39 313,,,,
470,10-09-07 03:00:00  AM,41 277,37 846,,,,
471,10-09-07 04:00:00  AM,40 719,35 782,,,,
472,10-09-07 05:00:00  AM,40 017,34 075,,,,
473,10-09-07 06:00:00  AM,40 485,34 174,,,,
