"Plot Title: 9724974"
"#","Date","Time, GMT-07:00","Temp, °C (LGR S/N: 9724974, SEN S/N: 9724974)","Temp, °C (LGR S/N: 9724974, SEN S/N: 9724974)","Coupler Detached (LGR S/N: 9724974, SEN S/N: 9724974)","Coupler Attached (LGR S/N: 9724974, SEN S/N: 9724974)","Host Connected (LGR S/N: 9724974, SEN S/N: 9724974)","End Of File (LGR S/N: 9724974, SEN S/N: 9724974)"
141,08/24/10,10:00:00 AM,4.636,6.560,,,,
142,08/24/10,11:00:00 AM,5.898,9.682,,,,
143,08/24/10,12:00:00 PM,6.102,10.614,,,,
144,08/24/10,01:00:00 PM,6.204,10.026,,,,
145,08/24/10,02:00:00 PM,6.965,11.759,,,,
146,08/24/10,03:00:00 PM,7.770,13.473,,,,
147,08/24/10,04:00:00 PM,6.813,11.832,,,,
148,08/24/10,05:00:00 PM,7.745,12.847,,,,
149,08/24/10,06:00:00 PM,8.070,12.558,,,,
150,08/24/10,07:00:00 PM,7.770,12.606,,,,
151,08/24/10,08:00:00 PM,6.940,9.829,,,,
152,08/24/10,09:00:00 PM,6.661,8.045,,,,
153,08/24/10,10:00:00 PM,6.889,7.066,,,,
154,08/24/10,11:00:00 PM,5.975,6.636,,,,
155,08/25/10,12:00:00 AM,5.898,6.357,,,,
156,08/25/10,01:00:00 AM,5.821,6.102,,,,
157,08/25/10,02:00:00 AM,5.360,6.026,,,,
158,08/25/10,03:00:00 AM,5.154,6.000,,,,
159,08/25/10,04:00:00 AM,4.947,5.796,,,,
160,08/25/10,05:00:00 AM,4.454,5.565,,,,
161,08/25/10,06:00:00 AM,4.454,5.282,,,,
162,08/25/10,07:00:00 AM,4.011,5.076,,,,
163,08/25/10,08:00:00 AM,4.194,5.257,,,,
164,08/25/10,09:00:00 AM,4.376,5.949,,,,
165,08/25/10,10:00:00 AM,4.532,6.788,,,,
166,08/25/10,11:00:00 AM,4.818,9.287,,,,
167,08/25/10,12:00:00 PM,5.539,10.736,,,,
168,08/25/10,01:00:00 PM,5.719,10.565,,,,
169,08/25/10,02:00:00 PM,5.847,10.320,,,,
170,08/25/10,03:00:00 PM,6.763,13.522,,,,
171,08/25/10,04:00:00 PM,6.357,15.557,,,,
172,08/25/10,05:00:00 PM,5.924,10.345,,,,
173,08/25/10,06:00:00 PM,6.077,10.394,,,,
174,08/25/10,07:00:00 PM,6.051,11.127,,,,
175,08/25/10,08:00:00 PM,5.102,9.139,,,,
176,08/25/10,09:00:00 PM,4.947,7.569,,,,
177,08/25/10,10:00:00 PM,5.076,6.763,,,,
178,08/25/10,11:00:00 PM,4.792,6.433,,,,
179,08/26/10,12:00:00 AM,4.818,6.102,,,,
180,08/26/10,01:00:00 AM,4.610,5.898,,,,
181,08/26/10,02:00:00 AM,4.506,5.693,,,,
182,08/26/10,03:00:00 AM,4.376,5.385,,,,
183,08/26/10,04:00:00 AM,4.246,5.282,,,,
184,08/26/10,05:00:00 AM,4.298,4.454,,,,
185,08/26/10,06:00:00 AM,4.506,4.740,,,,
186,08/26/10,07:00:00 AM,4.376,4.792,,,,
187,08/26/10,08:00:00 AM,4.610,4.947,,,,
188,08/26/10,09:00:00 AM,4.610,5.179,,,,
189,08/26/10,10:00:00 AM,4.714,5.949,,,,
190,08/26/10,11:00:00 AM,4.766,6.864,,,,
191,08/26/10,12:00:00 PM,4.792,7.066,,,,
192,08/26/10,01:00:00 PM,5.437,9.460,,,,
193,08/26/10,02:00:00 PM,6.408,10.001,,,,
194,08/26/10,03:00:00 PM,4.376,6.788,,,,
195,08/26/10,04:00:00 PM,4.921,2.956,,,,
196,08/26/10,05:00:00 PM,6.611,8.817,,,,
197,08/26/10,06:00:00 PM,6.611,12.340,,,,
198,08/26/10,07:00:00 PM,5.847,8.444,,,,
199,08/26/10,08:00:00 PM,7.217,8.344,,,,
200,08/26/10,09:00:00 PM,5.565,6.509,,,,
201,08/26/10,10:00:00 PM,5.616,3.906,,,,
202,08/26/10,11:00:00 PM,5.282,2.983,,,,
203,08/27/10,12:00:00 AM,5.179,2.021,,,,
204,08/27/10,01:00:00 AM,4.895,1.534,,,,
205,08/27/10,02:00:00 AM,4.584,0.770,,,,
206,08/27/10,03:00:00 AM,4.636,1.017,,,,
207,08/27/10,04:00:00 AM,4.194,1.153,,,,
208,08/27/10,05:00:00 AM,3.985,1.099,,,,
209,08/27/10,06:00:00 AM,3.827,1.071,,,,
210,08/27/10,07:00:00 AM,3.880,1.044,,,,
211,08/27/10,08:00:00 AM,4.063,1.071,,,,
212,08/27/10,09:00:00 AM,4.350,1.099,,,,
213,08/27/10,10:00:00 AM,4.921,1.099,,,,
214,08/27/10,11:00:00 AM,5.975,1.235,,,,
215,08/27/10,12:00:00 PM,6.990,7.519,,,,
216,08/27/10,01:00:00 PM,8.469,11.248,,,,
217,08/27/10,02:00:00 PM,9.509,13.281,,,,
218,08/27/10,03:00:00 PM,10.051,12.799,,,,
219,08/27/10,04:00:00 PM,10.467,11.467,,,,
220,08/27/10,05:00:00 PM,11.078,12.219,,,,
221,08/27/10,06:00:00 PM,11.589,14.721,,,,
222,08/27/10,07:00:00 PM,11.248,14.721,,,,
223,08/27/10,08:00:00 PM,9.903,11.565,,,,
224,08/27/10,09:00:00 PM,7.217,8.444,,,,
225,08/27/10,10:00:00 PM,5.591,5.257,,,,
226,08/27/10,11:00:00 PM,5.257,4.063,,,,
227,08/28/10,12:00:00 AM,4.999,3.354,,,,
228,08/28/10,01:00:00 AM,4.454,2.717,,,,
229,08/28/10,02:00:00 AM,4.246,2.316,,,,
230,08/28/10,03:00:00 AM,4.194,1.913,,,,
231,08/28/10,04:00:00 AM,3.696,1.615,,,,
232,08/28/10,05:00:00 AM,3.564,1.425,,,,
233,08/28/10,06:00:00 AM,3.485,1.208,,,,
234,08/28/10,07:00:00 AM,3.274,0.989,,,,
235,08/28/10,08:00:00 AM,3.433,1.153,,,,
236,08/28/10,09:00:00 AM,3.880,1.289,,,,
237,08/28/10,10:00:00 AM,4.506,1.534,,,,
238,08/28/10,11:00:00 AM,6.128,1.913,,,,
239,08/28/10,12:00:00 PM,7.015,6.864,,,,
240,08/28/10,01:00:00 PM,7.594,9.460,,,,
241,08/28/10,02:00:00 PM,8.519,11.005,,,,
242,08/28/10,03:00:00 PM,8.742,10.541,,,,
243,08/28/10,04:00:00 PM,8.220,11.880,,,,
244,08/28/10,05:00:00 PM,8.419,11.589,,,,
245,08/28/10,06:00:00 PM,8.095,10.883,,,,
246,08/28/10,07:00:00 PM,7.041,9.682,,,,
247,08/28/10,08:00:00 PM,6.408,7.720,,,,
248,08/28/10,09:00:00 PM,5.745,5.847,,,,
249,08/28/10,10:00:00 PM,5.308,4.506,,,,
250,08/28/10,11:00:00 PM,4.973,3.801,,,,
251,08/29/10,12:00:00 AM,5.154,3.958,,,,
252,08/29/10,01:00:00 AM,4.947,3.880,,,,
253,08/29/10,02:00:00 AM,4.168,3.274,,,,
254,08/29/10,03:00:00 AM,3.749,2.155,,,,
255,08/29/10,04:00:00 AM,4.350,2.370,,,,
256,08/29/10,05:00:00 AM,4.298,2.983,,,,
257,08/29/10,06:00:00 AM,3.880,2.770,,,,
258,08/29/10,07:00:00 AM,4.063,2.450,,,,
259,08/29/10,08:00:00 AM,4.037,3.195,,,,
260,08/29/10,09:00:00 AM,4.584,5.385,,,,
261,08/29/10,10:00:00 AM,4.869,7.720,,,,
262,08/29/10,11:00:00 AM,5.437,9.534,,,,
263,08/29/10,12:00:00 PM,6.357,11.662,,,,
264,08/29/10,01:00:00 PM,6.102,11.321,,,,
265,08/29/10,02:00:00 PM,7.569,11.710,,,,
266,08/29/10,03:00:00 PM,9.952,12.799,,,,
267,08/29/10,04:00:00 PM,9.558,11.492,,,,
268,08/29/10,05:00:00 PM,11.005,14.146,,,,
269,08/29/10,06:00:00 PM,11.565,14.577,,,,
270,08/29/10,07:00:00 PM,10.907,14.242,,,,
271,08/29/10,08:00:00 PM,9.780,11.613,,,,
272,08/29/10,09:00:00 PM,8.369,8.070,,,,
273,08/29/10,10:00:00 PM,7.116,4.428,,,,
274,08/29/10,11:00:00 PM,7.116,2.664,,,,
275,08/30/10,12:00:00 AM,7.217,2.610,,,,
276,08/30/10,01:00:00 AM,7.318,3.932,,,,
277,08/30/10,02:00:00 AM,6.763,3.485,,,,
278,08/30/10,03:00:00 AM,6.255,2.690,,,,
279,08/30/10,04:00:00 AM,5.872,1.832,,,,
280,08/30/10,05:00:00 AM,5.847,1.561,,,,
281,08/30/10,06:00:00 AM,5.949,2.503,,,,
282,08/30/10,07:00:00 AM,5.360,2.370,,,,
283,08/30/10,08:00:00 AM,5.179,2.289,,,,
284,08/30/10,09:00:00 AM,5.591,2.530,,,,
285,08/30/10,10:00:00 AM,5.975,2.744,,,,
286,08/30/10,11:00:00 AM,7.015,2.903,,,,
287,08/30/10,12:00:00 PM,8.045,7.770,,,,
288,08/30/10,01:00:00 PM,10.271,11.467,,,,
289,08/30/10,02:00:00 PM,9.509,13.016,,,,
290,08/30/10,03:00:00 PM,10.541,12.630,,,,
291,08/30/10,04:00:00 PM,10.541,10.638,,,,
292,08/30/10,05:00:00 PM,11.565,11.419,,,,
293,08/30/10,06:00:00 PM,11.783,12.485,,,,
294,08/30/10,07:00:00 PM,11.419,12.050,,,,
295,08/30/10,08:00:00 PM,11.078,11.589,,,,
296,08/30/10,09:00:00 PM,8.295,8.891,,,,
297,08/30/10,10:00:00 PM,7.469,7.066,,,,
298,08/30/10,11:00:00 PM,7.268,6.509,,,,
299,08/31/10,12:00:00 AM,6.560,6.153,,,,
300,08/31/10,01:00:00 AM,5.257,5.642,,,,
301,08/31/10,02:00:00 AM,5.642,5.334,,,,
302,08/31/10,03:00:00 AM,5.462,4.350,,,,
303,08/31/10,04:00:00 AM,5.257,3.564,,,,
304,08/31/10,05:00:00 AM,5.411,4.194,,,,
305,08/31/10,06:00:00 AM,5.462,4.480,,,,
306,08/31/10,07:00:00 AM,5.719,4.324,,,,
307,08/31/10,08:00:00 AM,5.770,4.584,,,,
308,08/31/10,09:00:00 AM,6.255,5.745,,,,
309,08/31/10,10:00:00 AM,5.719,6.737,,,,
310,08/31/10,11:00:00 AM,6.128,8.742,,,,
311,08/31/10,12:00:00 PM,6.408,9.361,,,,
312,08/31/10,01:00:00 PM,6.712,10.883,,,,
313,08/31/10,02:00:00 PM,7.268,10.614,,,,
314,08/31/10,03:00:00 PM,7.870,13.305,,,,
315,08/31/10,04:00:00 PM,6.788,11.929,,,,
316,08/31/10,05:00:00 PM,7.645,12.534,,,,
317,08/31/10,06:00:00 PM,7.368,11.273,,,,
318,08/31/10,07:00:00 PM,6.509,8.295,,,,
319,08/31/10,08:00:00 PM,6.458,8.295,,,,
320,08/31/10,09:00:00 PM,6.255,7.368,,,,
321,08/31/10,10:00:00 PM,5.745,6.051,,,,
322,08/31/10,11:00:00 PM,6.000,5.437,,,,
323,09/01/10,12:00:00 AM,5.949,5.385,,,,
324,09/01/10,01:00:00 AM,5.898,5.231,,,,
325,09/01/10,02:00:00 AM,5.949,5.128,,,,
326,09/01/10,03:00:00 AM,5.975,5.102,,,,
327,09/01/10,04:00:00 AM,6.153,5.179,,,,
328,09/01/10,05:00:00 AM,6.051,5.076,,,,
329,09/01/10,06:00:00 AM,6.026,5.179,,,,
330,09/01/10,07:00:00 AM,5.898,5.128,,,,
331,09/01/10,08:00:00 AM,5.872,5.437,,,,
332,09/01/10,09:00:00 AM,6.077,6.051,,,,
333,09/01/10,10:00:00 AM,6.255,6.611,,,,
334,09/01/10,11:00:00 AM,7.293,7.820,,,,
335,09/01/10,12:00:00 PM,7.393,9.139,,,,
336,09/01/10,01:00:00 PM,9.064,10.956,,,,
337,09/01/10,02:00:00 PM,9.854,12.364,,,,
338,09/01/10,03:00:00 PM,8.717,11.613,,,,
339,09/01/10,04:00:00 PM,8.916,12.001,,,,
340,09/01/10,05:00:00 PM,8.668,12.001,,,,
341,09/01/10,06:00:00 PM,7.393,9.903,,,,
342,09/01/10,07:00:00 PM,7.066,8.965,,,,
343,09/01/10,08:00:00 PM,6.357,7.469,,,,
344,09/01/10,09:00:00 PM,6.179,6.179,,,,
345,09/01/10,10:00:00 PM,5.642,5.360,,,,
346,09/01/10,11:00:00 PM,5.591,4.792,,,,
347,09/02/10,12:00:00 AM,5.437,4.454,,,,
348,09/02/10,01:00:00 AM,4.636,4.168,,,,
349,09/02/10,02:00:00 AM,4.792,4.141,,,,
350,09/02/10,03:00:00 AM,4.480,4.141,,,,
351,09/02/10,04:00:00 AM,3.880,4.141,,,,
352,09/02/10,05:00:00 AM,3.827,4.115,,,,
353,09/02/10,06:00:00 AM,3.801,4.089,,,,
354,09/02/10,07:00:00 AM,3.538,3.880,,,,
355,09/02/10,08:00:00 AM,1.940,2.182,,,,
356,09/02/10,09:00:00 AM,1.344,0.632,,,,
357,09/02/10,10:00:00 AM,1.751,2.477,,,,
358,09/02/10,11:00:00 AM,2.101,3.248,,,,
359,09/02/10,12:00:00 PM,2.664,6.051,,,,
360,09/02/10,01:00:00 PM,3.749,8.444,,,,
361,09/02/10,02:00:00 PM,4.973,9.756,,,,
362,09/02/10,03:00:00 PM,5.385,11.759,,,,
363,09/02/10,04:00:00 PM,5.924,10.834,,,,
364,09/02/10,05:00:00 PM,6.560,10.051,,,,
365,09/02/10,06:00:00 PM,6.788,9.040,,,,
366,09/02/10,07:00:00 PM,7.167,9.139,,,,
367,09/02/10,08:00:00 PM,6.000,8.070,,,,
368,09/02/10,09:00:00 PM,5.616,6.102,,,,
369,09/02/10,10:00:00 PM,5.360,4.506,,,,
370,09/02/10,11:00:00 PM,4.921,3.854,,,,
371,09/03/10,12:00:00 AM,4.714,3.036,,,,
372,09/03/10,01:00:00 AM,4.506,2.903,,,,
373,09/03/10,02:00:00 AM,4.272,2.744,,,,
374,09/03/10,03:00:00 AM,3.354,1.832,,,,
375,09/03/10,04:00:00 AM,3.985,1.507,,,,
376,09/03/10,05:00:00 AM,3.749,1.344,,,,
377,09/03/10,06:00:00 AM,2.823,1.317,,,,
378,09/03/10,07:00:00 AM,2.983,1.480,,,,
379,09/03/10,08:00:00 AM,3.221,2.557,,,,
380,09/03/10,09:00:00 AM,3.433,3.512,,,,
381,09/03/10,10:00:00 AM,3.459,4.063,,,,
382,09/03/10,11:00:00 AM,3.775,5.257,,,,
383,09/03/10,12:00:00 PM,4.115,6.712,,,,
384,09/03/10,01:00:00 PM,4.402,7.318,,,,
385,09/03/10,02:00:00 PM,4.869,9.731,,,,
386,09/03/10,03:00:00 PM,4.636,9.583,,,,
387,09/03/10,04:00:00 PM,5.282,9.829,,,,
388,09/03/10,05:00:00 PM,5.693,10.687,,,,
389,09/03/10,06:00:00 PM,7.091,10.932,,,,
390,09/03/10,07:00:00 PM,6.255,11.492,,,,
391,09/03/10,08:00:00 PM,5.024,8.270,,,,
392,09/03/10,09:00:00 PM,4.766,6.636,,,,
393,09/03/10,10:00:00 PM,4.558,5.770,,,,
394,09/03/10,11:00:00 PM,4.792,5.334,,,,
395,09/04/10,12:00:00 AM,4.636,5.154,,,,
396,09/04/10,01:00:00 AM,4.480,5.024,,,,
397,09/04/10,02:00:00 AM,4.246,4.895,,,,
398,09/04/10,03:00:00 AM,4.011,4.610,,,,
399,09/04/10,04:00:00 AM,4.220,4.324,,,,
400,09/04/10,05:00:00 AM,4.141,4.324,,,,
401,09/04/10,06:00:00 AM,4.011,4.194,,,,
402,09/04/10,07:00:00 AM,4.402,4.037,,,,
403,09/04/10,08:00:00 AM,4.324,4.141,,,,
404,09/04/10,09:00:00 AM,4.584,5.076,,,,
405,09/04/10,10:00:00 AM,4.636,7.192,,,,
406,09/04/10,11:00:00 AM,5.257,8.965,,,,
407,09/04/10,12:00:00 PM,6.611,10.761,,,,
408,09/04/10,01:00:00 PM,7.795,11.443,,,,
409,09/04/10,02:00:00 PM,9.361,12.992,,,,
410,09/04/10,03:00:00 PM,8.742,13.064,,,,
411,09/04/10,04:00:00 PM,10.492,13.522,,,,
412,09/04/10,05:00:00 PM,10.492,13.449,,,,
413,09/04/10,06:00:00 PM,10.785,12.630,,,,
414,09/04/10,07:00:00 PM,10.001,11.151,,,,
415,09/04/10,08:00:00 PM,9.064,9.188,,,,
416,09/04/10,09:00:00 PM,6.357,6.077,,,,
417,09/04/10,10:00:00 PM,5.024,4.454,,,,
418,09/04/10,11:00:00 PM,4.869,3.775,,,,
419,09/05/10,12:00:00 AM,4.115,3.142,,,,
420,09/05/10,01:00:00 AM,3.854,2.690,,,,
421,09/05/10,02:00:00 AM,3.512,2.316,,,,
422,09/05/10,03:00:00 AM,3.433,2.101,,,,
423,09/05/10,04:00:00 AM,3.248,1.967,,,,
424,09/05/10,05:00:00 AM,3.327,1.832,,,,
425,09/05/10,06:00:00 AM,3.221,1.751,,,,
426,09/05/10,07:00:00 AM,2.423,1.344,,,,
427,09/05/10,08:00:00 AM,3.643,2.021,,,,
428,09/05/10,09:00:00 AM,4.246,3.380,,,,
429,09/05/10,10:00:00 AM,4.037,4.402,,,,
430,09/05/10,11:00:00 AM,3.142,4.662,,,,
431,09/05/10,12:00:00 PM,2.690,4.869,,,,
432,09/05/10,01:00:00 PM,2.450,4.973,,,,
433,09/05/10,02:00:00 PM,2.343,4.818,,,,
434,09/05/10,03:00:00 PM,2.370,5.437,,,,
435,09/05/10,04:00:00 PM,1.967,5.179,,,,
436,09/05/10,05:00:00 PM,2.396,4.869,,,,
437,09/05/10,06:00:00 PM,1.697,4.714,,,,
438,09/05/10,07:00:00 PM,1.994,3.775,,,,
439,09/05/10,08:00:00 PM,2.047,4.194,,,,
440,09/05/10,09:00:00 PM,1.778,3.617,,,,
441,09/05/10,10:00:00 PM,1.913,3.168,,,,
442,09/05/10,11:00:00 PM,1.751,2.930,,,,
443,09/06/10,12:00:00 AM,2.047,2.823,,,,
444,09/06/10,01:00:00 AM,2.021,2.770,,,,
445,09/06/10,02:00:00 AM,1.832,2.717,,,,
446,09/06/10,03:00:00 AM,2.021,2.770,,,,
447,09/06/10,04:00:00 AM,2.128,2.797,,,,
448,09/06/10,05:00:00 AM,2.155,2.850,,,,
449,09/06/10,06:00:00 AM,2.128,2.850,,,,
450,09/06/10,07:00:00 AM,2.236,2.877,,,,
451,09/06/10,08:00:00 AM,2.343,3.009,,,,
452,09/06/10,09:00:00 AM,2.610,3.801,,,,
453,09/06/10,10:00:00 AM,3.168,5.179,,,,
454,09/06/10,11:00:00 AM,3.538,5.385,,,,
455,09/06/10,12:00:00 PM,4.037,6.204,,,,
456,09/06/10,01:00:00 PM,4.220,6.255,,,,
457,09/06/10,02:00:00 PM,4.454,5.821,,,,
458,09/06/10,03:00:00 PM,4.480,5.770,,,,
459,09/06/10,04:00:00 PM,4.973,6.458,,,,
460,09/06/10,05:00:00 PM,5.076,6.509,,,,
461,09/06/10,06:00:00 PM,5.257,6.306,,,,
462,09/06/10,07:00:00 PM,5.385,6.153,,,,
463,09/06/10,08:00:00 PM,5.514,5.975,,,,
464,09/06/10,09:00:00 PM,5.616,5.770,,,,
465,09/06/10,10:00:00 PM,5.693,5.668,,,,
466,09/06/10,11:00:00 PM,5.539,5.360,,,,
467,09/07/10,12:00:00 AM,5.591,5.282,,,,
